,sample_id,iteration,seed,final_A,population_size,rewiring_probability,replicator_selection,interactor_selection,neutral_change,selection_pressure,n
0,0,0,318333390472250770340924433605383241971,0.1,10,0.01,False,True,False,0.1,0.1
1,0,1,168322491302774752001659196844570000346,0.0,10,0.01,False,True,False,0.1,0.1
2,0,2,202247630817727143403769638613491042418,0.0,10,0.01,False,True,False,0.1,0.1
3,1,0,169478764903885901353588713168829509889,0.0985915492957746,213,0.01,False,True,False,0.1,0.1
4,1,1,325719646015232673863574949150405550225,0.1070422535211267,213,0.01,False,True,False,0.1,0.1
5,1,2,11079812899323133505254979928873094439,0.0938967136150234,213,0.01,False,True,False,0.1,0.1
6,2,0,84235592951728317533529395537541891364,0.0983213429256594,417,0.01,False,True,False,0.1,0.1
7,2,1,226024152896712231218104603951698397138,0.1019184652278177,417,0.01,False,True,False,0.1,0.1
8,2,2,36995230758581832772917576300164527024,0.0983213429256594,417,0.01,False,True,False,0.1,0.1
9,3,0,23756189427994551649699980185641863946,0.0982286634460547,621,0.01,False,True,False,0.1,0.1
10,3,1,160552297792989005727820843785285666101,0.0998389694041868,621,0.01,False,True,False,0.1,0.1
11,3,2,141682586301538494489178054784349462277,0.0998389694041868,621,0.01,False,True,False,0.1,0.1
12,4,0,48544955752900763107630499730054321334,0.0981818181818181,825,0.01,False,True,False,0.1,0.1
13,4,1,230020674315679788016674158501078608556,0.0993939393939394,825,0.01,False,True,False,0.1,0.1
14,4,2,33799249142833480426104982126824951920,0.0993939393939394,825,0.01,False,True,False,0.1,0.1
15,5,0,101863575007007045275531069361915960199,0.099514091350826,1029,0.01,False,True,False,0.1,0.1
16,5,1,319118936562958455616131490185644270411,0.1010689990281827,1029,0.01,False,True,False,0.1,0.1
17,5,2,94217545790588549808507896870743521378,0.1005830903790087,1029,0.01,False,True,False,0.1,0.1
18,6,0,23605524961082623672501706027785381041,0.0999999999999999,1233,0.01,False,True,False,0.1,0.1
19,6,1,271614189726071348308389697365111439828,0.0995944849959448,1233,0.01,False,True,False,0.1,0.1
20,6,2,325463341398898855088926474291054918585,0.0989456609894566,1233,0.01,False,True,False,0.1,0.1
21,7,0,206819620174737707837622650844839239710,0.0998608211551844,1437,0.01,False,True,False,0.1,0.1
22,7,1,221635788416209117042690113548481746306,0.1005567153792623,1437,0.01,False,True,False,0.1,0.1
23,7,2,264523245384362168275150454764611081520,0.0995128740431454,1437,0.01,False,True,False,0.1,0.1
24,8,0,139933103697120397877701797888367708224,0.0999390615478366,1641,0.01,False,True,False,0.1,0.1
