,sample_id,iteration,seed,final_A,population_size,rewiring_probability,replicator_selection,interactor_selection,neutral_change
0,0,0,98807524353882403554697136217988892229,0.0,10,1.0,False,False,True
1,0,1,213276299563129243457339370072884628888,0.0,10,1.0,False,False,True
2,0,2,299034759288502645908024579304895846735,0.0,10,1.0,False,False,True
3,1,0,21958338547295335044273224011325563516,0.0028169014084507,213,1.0,False,False,True
4,1,1,110024693739605381140875280822541645801,0.0,213,1.0,False,False,True
5,1,2,164430877915384018253718000616000871936,0.3464788732394366,213,1.0,False,False,True
6,2,0,304148439674556619976013329783851313567,0.0731414868105516,417,1.0,False,False,True
7,2,1,300668773096162400457217325191936220242,0.0587529976019184,417,1.0,False,False,True
8,2,2,197604890834248307736566027193637745287,0.1827338129496403,417,1.0,False,False,True
9,3,0,134549985902851619239033183403384593248,0.2642512077294681,621,1.0,False,False,True
10,3,1,53924196635140922141555755980648994800,0.2803542673107885,621,1.0,False,False,True
11,3,2,186752701394710771488708969464394682881,0.190821256038647,621,1.0,False,False,True
12,4,0,187815147641345569464235748370152740460,0.1802424242424237,825,1.0,False,False,True
13,4,1,15957866027009949681763407498726521864,0.203757575757575,825,1.0,False,False,True
14,4,2,221942020922407710962487886150719289551,0.22060606060606,825,1.0,False,False,True
15,5,0,19127133815376838524096709601895549276,0.1789115646258497,1029,1.0,False,False,True
16,5,1,303496031134266314332363233593452806969,0.1533527696792998,1029,1.0,False,False,True
17,5,2,56709705165159908232578102442233365121,0.2429543245869772,1029,1.0,False,False,True
18,6,0,243288853704086449468855533905056833809,0.2583941605839412,1233,1.0,False,False,True
19,6,1,274713115999757909187465607901829081033,0.1914030819140295,1233,1.0,False,False,True
20,6,2,189249762580457831584129878914494444143,0.1939983779399827,1233,1.0,False,False,True
21,7,0,34887657959311446958567142026770680470,0.2335421016005565,1437,1.0,False,False,True
22,7,1,196729914884567237181395764919307901086,0.2540709812108561,1437,1.0,False,False,True
23,7,2,311761928961713289727572845861344745616,0.1823938761308272,1437,1.0,False,False,True
24,8,0,257899818567567991146129362436273786054,0.2017062766605727,1641,1.0,False,False,True
25,8,1,35002518430821288672973372690161803237,0.207312614259598,1641,1.0,False,False,True
26,8,2,141916487593247107519551254304113639187,0.1973796465569772,1641,1.0,False,False,True
27,9,0,48991157481366158307128441205348217019,0.1842818428184281,1845,1.0,False,False,True
28,9,1,204694578576080461242993014842097240950,0.2111111111111117,1845,1.0,False,False,True
29,9,2,83315909672772704968670465751503382808,0.1637398373983736,1845,1.0,False,False,True
30,10,0,248314861308291078907224847597922710411,0.2119628906250009,2048,1.0,False,False,True
31,10,1,290254026501797717349085668125027544894,0.1717773437500002,2048,1.0,False,False,True
32,10,2,320395541064089835926237478283723664714,0.1919433593750006,2048,1.0,False,False,True
33,11,0,312963229129329005816275627752448331926,0.1702930728241567,2252,1.0,False,False,True
34,11,1,311361637625233384256499589881621224749,0.2012877442273546,2252,1.0,False,False,True
35,11,2,8405982008924088986443817260345954336,0.193028419182949,2252,1.0,False,False,True
36,12,0,256747954470100822770213172495389172623,0.2077361563517924,2456,1.0,False,False,True
37,12,1,168074284034309113483423726826772506903,0.1983306188925092,2456,1.0,False,False,True
